DATE,FC,오류 유형,오류 내용,PO ID,IPR,벤더ID,벤더명,상품바코드,상품명,수량,PLT,"택배 or 
 업체직접회수",택배 주소,담당자/contact,운송장 출력,"SRMS
 업체회신 일자","D+6
 폐기조건","최종
 처리완료일",최종 처리,Remark 날자,메모,"운송장번호
 (자동)","택배
 진행상태","집하일자
 (택배)","배달일자
 (택배)","화물상태
 (원본)",매칭구분,"중복/재신고
 점검",매칭행(h)
2026-06-18,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132120251,IPR0017069819,A01619328,다줄께 유한회사,S0037424585352,SeekFun 대리석 패턴 식탁-CC / 화이트 120cm 4인용,4,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,최신건,
2026-06-18,,16.기타,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131850045,IPR0017069991,A01688459,다이아나홈,S0037691908762,SO-023 게이밍책상 / 화이트 1400,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,이전건(재신고 의심),
2026-06-22,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131956516,IPR0017076579,A01252277,삼무 유한회사,S0034306053339,SAMMU 컴퓨터 의자 Z 스타일 / 회색 Z-CY,2,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131956516,IPR0017076580,A01252277,삼무 유한회사,S0033872742426,SAMMU L자형 코너 게이밍 책상 / 1600*1100 W-흰색 L-좌측 코너,4,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131956516,IPR0017076581,A01252277,삼무 유한회사,S0034306252654,SAMMU 인체공학 컴퓨터 의자 S 스타일 / 회색 S-CY38H,2,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131956516,IPR0017076583,A01252277,삼무 유한회사,S0034880835773,SAMMU 컴퓨터 책상 YX / 검은색,5,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131255698,IPR0017076586,A01402276,주식회사 플로리스,S0035749863972,지오리스 능률업업 학생 및 사무용 3단 수납 서랍장 & 책상 테이블 세트 / 100*60cm 우드,3,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131255698,IPR0017076587,A01402276,주식회사 플로리스,S0035749863976,지오리스 능률업업 학생 및 사무용 3단 수납 서랍장 & 책상 테이블 세트 / 120*60cm 우드,3,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),131255698,IPR0017076588,A01402276,주식회사 플로리스,S0035749863980,지오리스 능률업업 학생 및 사무용 3단 수납 서랍장 & 책상 테이블 세트 / 100*60cm 화이트,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096624,A01611376,코어링크 유한회사,S0037856558161,33-hxy-dny021 / 흰색 Free,12,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096622,A01611376,코어링크 유한회사,S0037856558159,33-hxy-dny021 / 블랙 Free,10,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096619,A01611376,코어링크 유한회사,S0037856558158,33-hxy-dny021 / 그레이 Free,6,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096623,A01611376,코어링크 유한회사,S0037294782766,33-kbb-bgy001 / 블랙 1개,4,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096621,A01611376,코어링크 유한회사,S0037294782764,33-kbb-bgy001 / 그레이 1개,6,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096618,A01611376,코어링크 유한회사,S0037271817978,33-hzq-Yy001 / 오렌지 1개,12,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096617,A01611376,코어링크 유한회사,S0037856464876,33-hxy-dny018 / 흰색 Free,1,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096616,A01611376,코어링크 유한회사,S0037856464873,33-hxy-dny018 / 블랙 Free,1,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096615,A01611376,코어링크 유한회사,S0037856464871,33-hxy-dny018 / 브라운 Free,1,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096612,A01611376,코어링크 유한회사,S0037856463354,33-hxy-dny019 / 흰색 Free,3,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096614,A01611376,코어링크 유한회사,S0037856463351,33-hxy-dny019 / 브라운 Free,1,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096613,A01611376,코어링크 유한회사,S0037294782767,33-kbb-bgy001 / 흰색 1개,1,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131822300,IPR0017096620,A01611376,코어링크 유한회사,S0037271817976,33-hzq-Yy001 / 그레이 1개,3,13,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131133307,IPR0017096655,A01527819,"큐에이큐 주식회사(QAQ CO.,LTD.)",S0037486722116,E0급 K자형 게이밍 컴퓨터 책상 튼튼한 1인용 테이블 / 화이트 1000×600 게이밍 책상,8,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131133307,IPR0017096656,A01527819,"큐에이큐 주식회사(QAQ CO.,LTD.)",S0037486722126,E0급 K자형 게이밍 컴퓨터 책상 튼튼한 1인용 테이블 / 화이트 1200×600 게이밍 책상,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,16.기타,1.박스파손/업체직접회수요청드립니다/영업일기준D+6까지 SRMS시스템에 미등록시 상품 폐기 예정/회송담당자 010-9995-9870/Wechat id : (XRG1_Center / XRG1_Center2),131133307,IPR0017096657,A01527819,"큐에이큐 주식회사(QAQ CO.,LTD.)",S0037486722108,E0급 K자형 게이밍 컴퓨터 책상 튼튼한 1인용 테이블 / 블랙 1000×600 게이밍 책상,6,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-22,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133229843,IPR0017076606,A01247186,유한회사 뉴월드트레이딩,S0035626588811,NWMPJ04 / 1개 원목색,16,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-06-30,폐기존 이동 완료,,,,,,,,
2026-06-23,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132361379,IPR0017103745,A01205970,주식회사데스텀,QLUNA88202658,데스텀 코너형 ㄱ자 컴퓨터 사무용 멀티 데스크 테이블 책상 / 1800 화이트,2,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,이전건(재신고 의심),
2026-06-23,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132361379,IPR0017103744,A01205970,주식회사데스텀,TLUNA88202665,데스텀 코너형 ㄱ자 컴퓨터 사무용 멀티 데스크 테이블 책상 / 1600 블랙,4,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,이전건(재신고 의심),
2026-06-23,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132361379,IPR0017103743,A01205970,주식회사데스텀,QLUNA88202657,데스텀 코너형 ㄱ자 컴퓨터 사무용 멀티 데스크 테이블 책상 / 1400 블랙,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,이전건(재신고 의심),
2026-06-23,,1.파손,1 박스파손/택배발송예정입니다/직접회수 필요시 영업일 기준 D+6까지 SRMS시스템 회송방법 등록 요망/SRMS미등록시 택배발송/반송시 폐기/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133758895,IPR0017069945,A01606333,정슈이 유한회사,S0037854882679,호텔식 무설치 좌식 의자 등받이 각도조절 바닥 소파 거실 다다미 명상 베란다 쿠션 좌식 의자 / 오렌지 1개,1,1,택배,인천광역시 중구 서해대로210번길 50,823-2887-1505,TRUE,,O,2026-07-03,택배 회송,,,2662-8458-0052,인수완료,2026-06-24,2026-06-26,인수자등록,정확(IPR),,1403
2026-06-23,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),134053908,IPR0017069943,A01606333,정슈이 유한회사,S0037854909916,모던 원목 식탁세트 2인용 4인용 식탁의자 인테리어 포함 주방 거실 심플 테이블 / 화이트 일반의자 4,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,,
2026-06-23,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),134053908,IPR0017069944,A01606333,정슈이 유한회사,S0037854909908,모던 원목 식탁세트 2인용 4인용 식탁의자 인테리어 포함 주방 거실 심플 테이블 / 원목색 일반의자 4,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,,
2026-06-23,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),134053908,IPR0017069942,A01606333,정슈이 유한회사,S0037854909912,모던 원목 식탁세트 2인용 4인용 식탁의자 인테리어 포함 주방 거실 심플 테이블 / 화이트 일반의자 2,2,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,,
2026-06-23,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),132120251,IPR0017103741,A01619328,다줄께 유한회사,S0037552248210,SeekFun 1인용 소파 의자 리클라이너 danrenshafayi-HH / Gray/회색,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,최신건,
2026-06-23,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133088381,IPR0017103729,A01280323,신란트레이드 주식회사,S0035865994727,GAPINO 다용도 노인 보행 보조차 보행보조차 성인용 / 52x56x90cm,6,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,,
2026-06-24,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133088126,IPR0017103770,A01209378,광저우웨커무역유한회사(영업소),S0036357280741,Kismetic 업소용현관매트 출입구 발매트 / 다크 그레이 1개 120cm x 300cm,6,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,,
2026-06-24,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133088126,IPR0017103769,A01209378,광저우웨커무역유한회사(영업소),S0036357280739,Kismetic 다용도 롤카페트 거실카펫 현관 베란다 무음 논슬립카펫 대형 롱카펫 / 1개 라이트 그레이 120cm x 300cm,6,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,,
2026-06-24,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133087154,IPR0017103768,A01096856,유한회사 인라시티,S0035794294249,GAPINO 현관 매트 방음매트 사무실DIY 깔판 다용도 매트 카펫 1.2m x 3m & 1.2m x 5m / 1개 브라운 120cm x 1000cm,2,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,,
2026-06-24,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),134073418,IPR0017103753,A01606333,정슈이 유한회사,S0037854909908,모던 원목 식탁세트 2인용 4인용 식탁의자 인테리어 포함 주방 거실 심플 테이블 / 원목색 일반의자 4,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-02,폐기존 이동 완료,,,,,,,이전건(재신고 의심),
2026-06-25,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133653995,IPR0017116789,A01657221,유한회사 코즈키아,S0036734652131,Y-LBY05-YMX / 흰색 105x60x50cm,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-03,폐기존 이동 완료,,,,,,,이전건(재신고 의심),
2026-06-25,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133653995,IPR0017116788,A01657221,유한회사 코즈키아,S0036734652129,Y-LBY05-YMX / 그레이 105x60x50cm,3,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-03,폐기존 이동 완료,,,,,,,,
2026-06-25,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133653869,IPR0017116787,A01498623,유한회사 미손트레이딩,S0035920436215,GJ-BJ08 / 화이트 블랙,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-03,폐기존 이동 완료,,,,,,,,
2026-06-25,,1.파손,1) 박스파손//업체직접회수요청드립니다/영업일 기준 D+6까지 SRMS시스템에 회송방법 미등록시 상품 폐기 예정/회송담당자 010-9995-9870 (WeChat ID : XRG1_Center / XRG1_Center2),133653869,IPR0017116784,A01498623,유한회사 미손트레이딩,S0036633991091,GJ-cj03 / 투명+블랙 83CM,1,1,업체직접회수,,,FALSE,,O,2026-07-06,D+6 폐기,2026-07-03,폐기존 이동 완료,,,,,,,,
